id,w,square footage,24-Hour,number,activity
00430,15.945623796,08,1,71,18
00431,1879.4560061,02,2,4,06
00432,19.690263031,08,2,1000,08
00433,73.697716743,07,2,86,05
00434,1451.6174232,02,2,0,05
00435,19.690263031,06,1,125,16
00436,1729.17335,02,2,1,14
00437,36.964163114,08,2,109,05
00438,2249.135161,05,2,3,12
00439,657.71092576,05,2,61,14
00440,1828.0523467,04,1,40,05
00441,1276.538624,03,2,5,15
00442,201.21025436,06,2,50,14
00443,1729.17335,02,2,7,02
00444,316.08389453,06,1,8,18
00445,4637.8512935,02,2,0,01
00446,53.724372726,07,2,225,02
00447,1162.262962,02,2,2,15
00448,75.480251744,03,2,5,25
00449,360.21806967,06,2,65,14
00450,1828.0523467,02,2,10,13
00451,23.717553485,02,2,2,02
00452,1031.3463294,05,2,82,02
00453,15.945623796,05,2,35,13
00454,161.86663767,07,2,200,02
00455,1484.5150471,02,2,0,13
00456,157.69275258,02,2,6,15
00457,1130.4747375,04,2,12,26
00458,1791.3103533,02,2,3,05
00459,1667.7551609,02,2,1,06
00460,52.146233763,08,2,800,02
00461,482.28523333,06,2,50,05
00462,1387.0765871,02,2,2,05
00463,1522.9817889,02,2,1,06
00464,316.08389453,06,2,82,14
00465,207.13166685,08,2,301,14
00466,33.099511473,08,2,80,13
00467,1807.4628666,02,2,2,06
00468,445.92272757,02,2,1,05
00469,1868.403437,02,2,5,02
00470,2226.0966804,06,2,1,05
00471,201.21025436,06,2,50,14
00472,9.2846065541,08,1,1200,16
00473,857.77359907,04,2,6,25
00474,385.90781293,05,2,50,14
00475,1868.403437,02,2,3,26
00476,1851.6697201,03,2,10,25
00477,583.6267448,04,2,2,13
00478,1667.7551609,02,2,3,02
00479,1807.4628666,03,2,5,02
00480,1197.3864068,02,2,14,15
00481,1522.9817889,03,2,6,12
00482,177.34464265,04,2,36,26
00483,1162.262962,03,2,5,02
00484,904.01813769,04,2,12,26
00485,1559.8286174,02,2,2,26
00486,1849.1849629,03,2,2,02
00487,529.06868544,02,2,6,25
00488,126.26687703,08,2,1,05
00489,156.28352071,04,1,20,91
00490,84.055763395,08,2,235,14
00491,1807.4628666,02,2,4,12
00492,1667.7551609,02,2,2,25
00493,2293.5899096,02,2,2,13
00494,1162.262962,04,2,2,12
00495,3782.1801042,02,2,6,26
00496,1381.4211073,03,2,30,15
00497,1461.8570616,02,2,1,25
00498,178.39372759,06,2,150,02
00499,4637.8512935,02,1,0,05
00500,13.218903598,09,1,1800,16
00501,1851.6697201,03,2,1,06
00502,665.40891804,05,2,0,01
00503,7.1506304282,09,1,1782,16
00504,1851.6697201,02,1,2,05
00505,1117.7421223,03,2,10,91
00506,1069.3275783,04,2,6,15
00507,1879.4560061,02,2,2,26
00508,632.51710677,06,2,66,23
00509,190.35872985,07,2,4,05
00510,499.1203535,05,2,8,12
00511,3231.2895441,02,2,1,26
00512,440.0460563,04,2,2,25
00513,84.055763395,08,2,140,14
00514,583.35116997,04,1,12,07
00515,1155.42801,03,1,5,18
00516,1851.6697201,02,2,3,15
00517,1559.8286174,02,2,1,26
00518,503.86330813,04,2,9,14
00519,23.717553485,09,2,1800,25
00520,1879.4560061,02,2,6,02
00521,19.690263031,07,1,400,16
00522,2.1867202052,09,1,1500,02
00523,484.85166373,03,2,12,14
00524,1807.4628666,03,2,6,26
00525,18.977301955,05,2,230,02
00526,5.0164338376,10,1,1000,13
00527,1162.262962,04,2,8,13
00528,74.844960294,08,2,320,05
00529,1807.4628666,02,2,6,02
00530,52.146233763,08,1,400,25
00531,624.95414063,03,2,15,02
00532,139.16995492,06,1,30,17
00533,48.841044419,07,2,70,25
00534,583.35116997,05,1,60,17
00535,11.323366706,08,1,800,16
00536,281.10925465,05,2,10,12
00537,15.619036013,08,2,1000,02
00538,3855.0841305,02,1,0,05
00539,48.841044419,07,2,23,23
00540,158.29956057,07,2,66,25
00541,1807.4628666,03,2,4,05
00542,2140.9064605,02,1,1,18
